,time,obs_id,doy,mig_year,sic,day_index
242,1996-09-22,3,303,1996,0.3700000047683716,-37
243,1996-09-23,3,303,1996,0.4399999976158142,-36
244,1996-09-24,3,303,1996,0.4000000059604645,-35
245,1996-09-25,3,303,1996,0.3499999940395355,-34
246,1996-09-26,3,303,1996,0.3600000143051147,-33
247,1996-09-27,3,303,1996,0.4099999964237213,-32
248,1996-09-28,3,303,1996,0.4099999964237213,-31
249,1996-09-29,3,303,1996,0.4600000083446502,-30
250,1996-09-30,3,303,1996,0.4399999976158142,-29
251,1996-10-01,3,303,1996,0.449999988079071,-28
252,1996-10-02,3,303,1996,0.4799999892711639,-27
253,1996-10-03,3,303,1996,0.5,-26
254,1996-10-04,3,303,1996,0.4799999892711639,-25
255,1996-10-05,3,303,1996,0.4799999892711639,-24
256,1996-10-06,3,303,1996,0.4699999988079071,-23
257,1996-10-07,3,303,1996,0.4799999892711639,-22
258,1996-10-08,3,303,1996,0.4600000083446502,-21
259,1996-10-09,3,303,1996,0.5400000214576721,-20
260,1996-10-10,3,303,1996,0.5899999737739563,-19
261,1996-10-11,3,303,1996,0.6399999856948853,-18
262,1996-10-12,3,303,1996,0.6299999952316284,-17
263,1996-10-13,3,303,1996,0.6800000071525574,-16
264,1996-10-14,3,303,1996,0.6100000143051147,-15
265,1996-10-15,3,303,1996,0.6200000047683716,-14
266,1996-10-16,3,303,1996,0.6000000238418579,-13
267,1996-10-17,3,303,1996,0.6200000047683716,-12
268,1996-10-18,3,303,1996,0.6200000047683716,-11
269,1996-10-19,3,303,1996,0.6600000262260437,-10
270,1996-10-20,3,303,1996,0.6399999856948853,-9
271,1996-10-21,3,303,1996,0.7200000286102295,-8
272,1996-10-22,3,303,1996,0.7400000095367432,-7
273,1996-10-23,3,303,1996,0.7799999713897705,-6
274,1996-10-24,3,303,1996,0.9200000166893004,-5
275,1996-10-25,3,303,1996,0.9200000166893004,-4
276,1996-10-26,3,303,1996,0.959999978542328,-3
277,1996-10-27,3,303,1996,0.9200000166893004,-2
278,1996-10-28,3,303,1996,0.959999978542328,-1
279,1996-10-29,3,303,1996,0.9900000095367432,0
280,1996-10-30,3,303,1996,0.949999988079071,1
281,1996-10-31,3,303,1996,0.959999978542328,2
282,1996-11-01,3,303,1996,0.9900000095367432,3
283,1996-11-02,3,303,1996,1.0,4
284,1996-11-03,3,303,1996,0.9700000286102296,5
285,1996-11-04,3,303,1996,0.8999999761581421,6
286,1996-11-05,3,303,1996,0.8899999856948853,7
287,1996-11-06,3,303,1996,0.9399999976158142,8
288,1996-11-07,3,303,1996,1.0,9
289,1996-11-08,3,303,1996,1.0,10
290,1996-11-09,3,303,1996,0.959999978542328,11
291,1996-11-10,3,303,1996,1.0,12
292,1996-11-11,3,303,1996,1.0,13
293,1996-11-12,3,303,1996,0.9700000286102296,14
294,1996-11-13,3,303,1996,0.949999988079071,15
295,1996-11-14,3,303,1996,0.9700000286102296,16
296,1996-11-15,3,303,1996,0.9900000095367432,17
297,1996-11-16,3,303,1996,0.9800000190734864,18
298,1996-11-17,3,303,1996,0.9800000190734864,19
299,1996-11-18,3,303,1996,0.9900000095367432,20
300,1996-11-19,3,303,1996,0.9800000190734864,21
301,1996-11-20,3,303,1996,0.9800000190734864,22
302,1996-11-21,3,303,1996,0.9800000190734864,23
303,1996-11-22,3,303,1996,0.9700000286102296,24
304,1996-11-23,3,303,1996,0.9900000095367432,25
305,1996-11-24,3,303,1996,0.9900000095367432,26
306,1996-11-25,3,303,1996,1.0,27
307,1996-11-26,3,303,1996,1.0,28
308,1996-11-27,3,303,1996,1.0,29
309,1996-11-28,3,303,1996,1.0,30
310,1996-11-29,3,303,1996,1.0,31
311,1996-11-30,3,303,1996,0.9900000095367432,32
312,1996-12-01,3,303,1996,0.9700000286102296,33
313,1996-12-02,3,303,1996,1.0,34
314,1996-12-03,3,303,1996,1.0,35
315,1996-12-04,3,303,1996,0.9900000095367432,36
316,1996-12-05,3,303,1996,0.9800000190734864,37
317,1996-12-06,3,303,1996,0.9900000095367432,38
318,1996-12-07,3,303,1996,0.9800000190734864,39
319,1996-12-08,3,303,1996,0.9800000190734864,40
320,1996-12-09,3,303,1996,0.9399999976158142,41
321,1996-12-10,3,303,1996,0.9700000286102296,42
322,1996-12-11,3,303,1996,0.9900000095367432,43
323,1996-12-12,3,303,1996,0.9700000286102296,44
324,1996-12-13,3,303,1996,0.9700000286102296,45
325,1997-09-07,4,295,1997,0.449999988079071,-45
326,1997-09-08,4,295,1997,0.4399999976158142,-44
327,1997-09-09,4,295,1997,0.4300000071525574,-43
328,1997-09-10,4,295,1997,0.4099999964237213,-42
329,1997-09-11,4,295,1997,0.4300000071525574,-41
330,1997-09-12,4,295,1997,0.449999988079071,-40
331,1997-09-13,4,295,1997,0.4000000059604645,-39
332,1997-09-14,4,295,1997,0.4199999868869781,-38
333,1997-09-15,4,295,1997,0.4399999976158142,-37
